County/Court	court location website	court hours webpage	court Rules (local) webpage	court Fees webpage	court Judges webpage	court department directory webpage	Court Holidays	case types filed at location	notes				case type abbrev. = 	case type
Cameron	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/general_information/rules.aspx	http://eldocourtweb.eldoradocourt.org/general_information/fees.aspx	http://eldocourtweb.eldoradocourt.org/departments/	http://eldocourtweb.eldoradocourt.org/departments/		CH, CV, UD						
Placerville	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/general_information/rules.aspx	http://eldocourtweb.eldoradocourt.org/general_information/fees.aspx	http://eldocourtweb.eldoradocourt.org/departments/	http://eldocourtweb.eldoradocourt.org/departments/		CH, CR, FL, JV, TR						
South Lake Tahoe	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/general_information/rules.aspx	http://eldocourtweb.eldoradocourt.org/general_information/fees.aspx	http://eldocourtweb.eldoradocourt.org/departments/	http://eldocourtweb.eldoradocourt.org/departments/		CV, CR, JV, SC, TR, UD	All of El Dorado County Judges are listed in URL as part of the respective areas.					
Fresno County	http://www.fresno.courts.ca.gov/courthouses/	http://www.fresno.courts.ca.gov/courthouses/	http://www.fresno.courts.ca.gov/rules/	http://www.fresno.courts.ca.gov/fees_schedule/	none	http://www.fresno.courts.ca.gov/courthouses/		CR, IN, TR	Was unable to find anything about judges in all areas.					
B. F. Sisk	http://www.fresno.courts.ca.gov/courthouses/	http://www.fresno.courts.ca.gov/courthouses/	http://www.fresno.courts.ca.gov/rules/	http://www.fresno.courts.ca.gov/fees_schedule/	none	http://www.fresno.courts.ca.gov/courthouses/		CV, FL, PR, SC, UD						
"M" Street	http://www.fresno.courts.ca.gov/courthouses/	http://www.fresno.courts.ca.gov/courthouses/	http://www.fresno.courts.ca.gov/rules/	http://www.fresno.courts.ca.gov/fees_schedule/	none	http://www.fresno.courts.ca.gov/courthouses/		CR, IN, TR						
Glenn County	http://www.glenncourt.ca.gov/general_info/directions.html	http://www.glenncourt.ca.gov/general_info/hours.html	http://www.glenncourt.ca.gov/court_info/rules.html	http://www.glenncourt.ca.gov/court_info/fees.html	http://www.glenncourt.ca.gov/general_info/whoswho/judge.html	http://www.glenncourt.ca.gov/general_info/resources.html		AP, CV, CR, FL, JV, PR, SC, TR						
Orland	http://www.glenncourt.ca.gov/general_info/directions.html	http://www.glenncourt.ca.gov/general_info/hours.html	http://www.glenncourt.ca.gov/court_info/rules.html	http://www.glenncourt.ca.gov/court_info/fees.html	http://www.glenncourt.ca.gov/general_info/whoswho/judge.html	http://www.glenncourt.ca.gov/general_info/resources.html		AP, CV, CR, FL, JV, PR, SC, TR						
Humboldt County	http://www.humboldt.courts.ca.gov/	http://www.humboldt.courts.ca.gov/gi/contact.htm	http://www.humboldt.courts.ca.gov/gi/localrules.htm	http://www.humboldt.courts.ca.gov/ff/index.htm	http://www.humboldt.courts.ca.gov/gi/judicialassignments.htm	http://www.humboldt.courts.ca.gov/gi/contact.htm		AP, CV, CR, FL, JV, PR, SC, TR	PDF provided for fees					
Imperial County	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Index.htm	none	http://www.imperial.courts.ca.gov/Index.htm	http://www.imperial.courts.ca.gov/Index.htm		IN, TR						
El Centro	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Index.htm	none	http://www.imperial.courts.ca.gov/Index.htm	http://www.imperial.courts.ca.gov/Index.htm		IN, TR						
Brawley	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Index.htm	none	http://www.imperial.courts.ca.gov/Index.htm	http://www.imperial.courts.ca.gov/Index.htm		IN, TR						
Winterhaven	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Hr.htm	http://www.imperial.courts.ca.gov/Index.htm	none	http://www.imperial.courts.ca.gov/Index.htm	http://www.imperial.courts.ca.gov/Index.htm		IN, TR	Website is different from the others. Almost all the information needed is provided on the homepage. No information was found on fees.					
Inyo	http://www.inyocourt.ca.gov/	http://www.inyocourt.ca.gov/	http://www.inyocourt.ca.gov/	none	http://www.inyocourt.ca.gov/	http://www.inyocourt.ca.gov/		FL, IN, SC, TR	All information was found on homepage except for fees which no information was found on.					
Bishop	http://www.inyocourt.ca.gov/	http://www.inyocourt.ca.gov/	http://www.inyocourt.ca.gov/	none	http://www.inyocourt.ca.gov/	http://www.inyocourt.ca.gov/								
Kern County	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	None	http://www.kern.courts.ca.gov/	http://www.kern.courts.ca.gov/home.aspx		AP, CR, CV, FL, JV, PR, SC, TR	No information on fees were found.					
Bakersfield	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx		http://www.kern.courts.ca.gov/	http://www.kern.courts.ca.gov/home.aspx		AP, CR, CV, FL, JV, PR, SC, TR						
East Division	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx		http://www.kern.courts.ca.gov/	http://www.kern.courts.ca.gov/home.aspx		AP, CR, CV, FL, JV, PR, SC, TR						
North Division	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx		http://www.kern.courts.ca.gov/	http://www.kern.courts.ca.gov/home.aspx		AP, CR, CV, FL, JV, PR, SC, TR						
South Division	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	http://www.kern.courts.ca.gov/home.aspx	None	http://www.kern.courts.ca.gov/	http://www.kern.courts.ca.gov/home.aspx		AP, CR, CV, FL, JV, PR, SC, TR						
Kings County	http://www.kings.courts.ca.gov/Courtmain.asp	http://www.kings.courts.ca.gov/main.aspx	http://www.kings.courts.ca.gov/localrules/localrules.asp	http://www.kings.courts.ca.gov/feesforms/feesforms.asp	http://www.kings.courts.ca.gov/Courtmain.asp	none		AP, CR, CV, FL, JV, SC, TR	PDF provided for court rules and fees.					
Hanford	http://www.kings.courts.ca.gov/locations/Hanford_Courthouse.asp	http://www.kings.courts.ca.gov/locations/Hanford_Courthouse.asp	http://www.kings.courts.ca.gov/localrules/localrules.asp	http://www.kings.courts.ca.gov/feesforms/feesforms.asp	http://www.kings.courts.ca.gov/Courtmain.asp	none		AP, CR, CV, FL, JV, SC, TR						
Avenal	http://www.kings.courts.ca.gov/locations/Avenal_Courthouse.asp	http://www.kings.courts.ca.gov/locations/Avenal_Courthouse.asp	http://www.kings.courts.ca.gov/localrules/localrules.asp	http://www.kings.courts.ca.gov/feesforms/feesforms.asp	http://www.kings.courts.ca.gov/Courtmain.asp	none		AP, CR, CV, FL, JV, SC, TR						
